"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 28 20:03:51 MSK 2025","Sat Jun 28 20:03:51 MSK 2025","91","","API тесты для создания пользователя","","api.UserApiTest","createUserWithoutNameFailTest","Создание пользователя без имени","Попытка регистрации без указания имени"
"passed","Sat Jun 28 20:03:45 MSK 2025","Sat Jun 28 20:03:46 MSK 2025","836","","api.AuthApiTest","","api.AuthApiTest","loginUserSuccessTest","Успешный логин пользователя","Проверка успешной авторизации существующего пользователя"
"passed","Sat Jun 28 20:03:49 MSK 2025","Sat Jun 28 20:03:50 MSK 2025","109","","API тесты для создания пользователя","","api.UserApiTest","createUserWithoutPasswordFailTest","Создание пользователя без пароля","Попытка регистрации без указания пароля"
"passed","Sat Jun 28 20:03:45 MSK 2025","Sat Jun 28 20:03:45 MSK 2025","103","","api.AuthApiTest","","api.AuthApiTest","loginUserWithWrongEmailFailTest","Логин с неверным email","Попытка авторизации с несуществующим email должна вернуть ошибку"
"passed","Sat Jun 28 20:03:50 MSK 2025","Sat Jun 28 20:03:51 MSK 2025","717","","API тесты для создания пользователя","","api.UserApiTest","createDuplicateUserFailTest","Создание уже зарегистрированного пользователя","Попытка регистрации пользователя с уже существующим email"
"passed","Sat Jun 28 20:03:50 MSK 2025","Sat Jun 28 20:03:50 MSK 2025","640","","API тесты для создания пользователя","","api.UserApiTest","createUniqueUserSuccessTest","Создание уникального пользователя","Успешная регистрация нового пользователя"
"passed","Sat Jun 28 20:03:50 MSK 2025","Sat Jun 28 20:03:50 MSK 2025","91","","API тесты для создания пользователя","","api.UserApiTest","createUserWithoutEmailFailTest","Создание пользователя без email","Попытка регистрации без указания email"
"passed","Sat Jun 28 20:03:42 MSK 2025","Sat Jun 28 20:03:45 MSK 2025","2723","","api.AuthApiTest","","api.AuthApiTest","loginUserWithWrongPasswordFailTest","Логин с неверным паролем","Попытка авторизации с неверным паролем должна вернуть ошибку"
"passed","Sat Jun 28 20:03:46 MSK 2025","Sat Jun 28 20:03:49 MSK 2025","3106","","API тесты для создания заказов","","api.OrderApiTest","createOrderWithAuthAndIngredientsSuccessTest","Создание заказа с авторизацией и ингредиентами","Успешное создание заказа авторизованным пользователем с валидными ингредиентами"
"passed","Sat Jun 28 20:03:46 MSK 2025","Sat Jun 28 20:03:46 MSK 2025","104","","API тесты для создания заказов","","api.OrderApiTest","createOrderWithoutIngredientsFailTest","Создание заказа без ингредиентов","Попытка создания заказа без ингредиентов возвращает ошибку"
"passed","Sat Jun 28 20:03:46 MSK 2025","Sat Jun 28 20:03:46 MSK 2025","84","","API тесты для создания заказов","","api.OrderApiTest","createOrderWithInvalidIngredientHashFailTest","Создание заказа с невалидным хешем ингредиентов","Попытка создания заказа с невалидным хешем ингредиентов возвращает внутреннюю ошибку сервера"
"passed","Sat Jun 28 20:03:49 MSK 2025","Sat Jun 28 20:03:49 MSK 2025","190","","API тесты для создания заказов","","api.OrderApiTest","createOrderWithoutAuthSuccessTest","Создание заказа без авторизации","Создание заказа без авторизации, но с валидными ингредиентами"
